Date,Open,High,Low,Close,Adj Close,Volume
2023-06-05,9.540000,9.670000,9.470000,9.480000,9.480000,2843500
2023-06-06,9.410000,10.140000,9.380000,10.070000,10.070000,3863100
2023-06-07,9.900000,10.200000,9.880000,10.140000,10.140000,3354600
2023-06-08,10.210000,10.440000,10.020000,10.360000,10.360000,3686700
2023-06-09,10.390000,10.560000,10.360000,10.500000,10.500000,3170400
2023-06-12,10.550000,10.940000,10.420000,10.930000,10.930000,3520400
2023-06-13,11.000000,11.030000,10.550000,10.610000,10.610000,3218400
2023-06-14,10.630000,10.950000,10.030000,10.190000,10.190000,3066000
2023-06-15,10.130000,10.250000,10.030000,10.220000,10.220000,2279100
2023-06-16,10.220000,10.220000,9.780000,9.800000,9.800000,3960200
2023-06-20,9.860000,9.860000,9.490000,9.620000,9.620000,2379700
2023-06-21,9.540000,9.650000,9.310000,9.520000,9.520000,2482200
2023-06-22,9.480000,9.480000,9.190000,9.240000,9.240000,2803100
2023-06-23,9.120000,9.210000,8.850000,8.870000,8.870000,5016100
2023-06-26,8.900000,9.050000,8.720000,8.740000,8.740000,3552800
2023-06-27,8.820000,8.840000,8.600000,8.700000,8.700000,2910000
2023-06-28,8.700000,8.890000,8.550000,8.830000,8.830000,3392200
2023-06-29,8.790000,9.040000,8.780000,8.830000,8.830000,2488100
2023-06-30,8.910000,8.960000,8.780000,8.880000,8.880000,2428500
2023-07-03,8.890000,9.440000,8.890000,9.420000,9.420000,1891800
2023-07-05,9.310000,9.380000,8.940000,8.970000,8.970000,3361000
2023-07-06,8.870000,8.870000,8.590000,8.660000,8.660000,3043900
2023-07-07,8.830000,9.100000,8.810000,8.990000,8.990000,2940200
2023-07-10,8.940000,9.220000,8.880000,8.900000,8.900000,3016700
2023-07-11,8.970000,9.280000,8.970000,9.170000,9.170000,2755700
2023-07-12,9.370000,9.400000,9.090000,9.390000,9.390000,2548900
2023-07-13,9.370000,9.530000,9.280000,9.480000,9.480000,3270700
2023-07-14,9.410000,9.480000,9.160000,9.180000,9.180000,1817000
2023-07-17,9.170000,9.270000,9.010000,9.120000,9.120000,2388300
2023-07-18,9.180000,9.370000,9.050000,9.360000,9.360000,2056400
2023-07-19,9.480000,9.860000,9.420000,9.590000,9.590000,2812100
2023-07-20,9.580000,9.800000,9.500000,9.580000,9.580000,2140000
2023-07-21,9.700000,9.780000,9.300000,9.600000,9.600000,2321500
2023-07-24,9.580000,9.980000,9.550000,9.870000,9.870000,2346200
2023-07-25,9.620000,10.150000,9.620000,10.090000,10.090000,2178500
2023-07-26,10.090000,10.290000,9.970000,10.100000,10.100000,2006600
2023-07-27,10.190000,10.310000,9.860000,9.890000,9.890000,1856400
2023-07-28,10.100000,10.190000,9.970000,10.190000,10.190000,1507600
2023-07-31,10.240000,10.390000,10.100000,10.130000,10.130000,2028600
2023-08-01,10.100000,10.650000,9.910000,10.340000,10.340000,2948900
2023-08-02,10.120000,10.210000,9.880000,10.160000,10.160000,2803300
2023-08-03,10.130000,10.580000,10.040000,10.440000,10.440000,2203600
2023-08-04,10.500000,10.760000,10.450000,10.490000,10.490000,2134700
2023-08-07,10.500000,10.630000,10.000000,10.030000,10.030000,7175900
2023-08-08,13.100000,13.110000,10.380000,10.460000,10.460000,21253800
2023-08-09,10.320000,10.770000,9.930000,10.130000,10.130000,6444800
2023-08-10,10.190000,10.470000,10.150000,10.290000,10.290000,3243300
2023-08-11,10.140000,10.260000,9.970000,10.150000,10.150000,2182000
